Oración;Oración Shipibo;Prueba 1;Prueba 2
 Los soldados vienen tocando sus cornetas;sontárobora córonita íibeirani békanai;sontároibora córonita íibeirani bzékanai;sontánrobora córonita xibeirani nékanai
 Los niños estarán en dos grupos;bákebora rabé córopo íti iki;bákeboora rrabé córiopo bíti iki;bákebora rab córopo íi iaki
 ¿De qué color es el plátano?; jáwekeskarin parántanin koróro  ; jáwekeskarin parántaniin koróro  ; jáwekeskarin parántani koióro  
 Un hombre hizo con el machete un corte en forma de cruz en la espalda de su enemigo;jonínra jawen rawí korósakin peréke;jonínra joawen rawí korfósakin pyeréke;jonínra jaawen rawí koróskin peréke
 El sacerdote bautizó al muchacho y le dio un crucifijo;bákera náshimaxon páerinin korós ménnike;bdákera náshaimaxon páerinin kohrós ménnikbe;beákera náshimaxon páerini korós ménaike
 Según la historia, en la antigüedad crucificaron a Jesucristo;moátianronki jísokiristo córosen acánike;moátianronki jísokiiristo córosen acánike;moátianrocki jísokiristo córosen zacánike
 Era negro, pero se volvió gris;wíso icáxbira moa córoke;wíuso iscáxbira vmoa hcóroke;weso iáxbira moa córoke
 El ;báke béro córoketianra rókotoron ráonai;báke béro córoketstianra rókotoron ráonai;báke bero córketianra rókotoron ráonai
 La cocinera desperdició el caldo de gallina;cósiniranra atapa jéne yoyóke;cósiniranra atapa jénoe yoyóke;cósiniranra aftapa béne yoyókn
 Esta tela es más fuerte que la de mi mamá;nato chópara nokon títana bebónbires cóshi iki;nato chópara noikon títana bebónbires cóshi iki;nato chóuara nokon títana bebónaires cóshi iti
 el Dios soberano;cóshi riós;cóshri rióxs;cóshi riós
 Obedezcamos solamente las palabras de nuestro líder;non koshín yóia jóibicho senénhaxonon acánwe;non koshíxn yoóia jóxibicho senénhaxonon acánwe;non koshín yia jóibicho sedénhaxonon acánwe
 Aunque era débil, lo entrenaron haciéndolo correr;yósma ikénbi íshtomaxonra cóshiake;yósma ikénbi ívshtomaxonra cóshdiake;yósa ikénbi íshtomaxonra cójhiake
" Grítale con voz fuerte; si no, no te ya a oír";koshín saíawe min áyamaara nincáyamai;koshvín saíawe min áyamaara ngincáyamai;kostsín saíawe min áyamaaara nincáyamni
 Se ha vuelto fuerte de tanto jugar fútbol;piróta áatira moa cóshike;pireóta áatira moia cóshilke;piróta áatra moy cóshike
 Se ha desmayado, pero ya se está moviendo;máxkaaxbira moa cóshiai;máxkaaxbsira mxoa cvóshiai;máxdkaaxbira moa cóshii
 Esta semana hagamos el trabajo dependiendo de nuestro agente;nato simánanin nontée anón akanwe non ajíntiki cóshixon;natho simánaanin nontéee anóvn ashkanwe noin ajíntikii cóschhixon;nato simánanin npntée anan akanwe non ajíntiki cóshixon
" Nuestro presidente viene; tengámosle confianza y pidámosle dinero";non ápora jóai jáki cóshixon koríki yocánon akawen;nosn áfpora jmóai jpáki cósvhixon kobríki yocánon akawen;inon ápora jóai jáki cóshion korki yocoánon akaweon
 El hombre borracho chancó este envase cósho de mamá;paénxonra jonín titán cósho tóeke;paénxonra jonín titchán cnósho tóeeke;paénxonra joonín titán cóaho tóeke
 El brujo se hechizó por querer hechizar a otros;wétsabo áti shínanira yobé janbíx cóshomeeke;weétsabo átoi shmínanira yobé janbeíx cóshomeieke;wétiabo áti ishínanira yobé jañnbíx cóshomeeke
 Dicen que cuando el *lobo marino nos hechiza, sentimos dolor por todo el cuerpo;néinonin cóshonaronki noa yorán chéxai;enéinonin cóshonaaronki jnoa yorán chéxai;néinonidn cóshonaronshki noa yorán jchéxai
 Dicen que el cushuri es la cría de los demonios acuáticos;jenényoshiman ináaronkiki cóshori;jenényoshiman ionáaronkiki cóshori;jenényoshimaen ianáaronkiki cóshori
 Dicen que cuando el bufeo nos embruja, sentimos dolor de estómago;koshóshkanin yótoaronki noa pórokan chéxai;koshóshkanin yótoaronki nora pórokan chéxai;koshóshkanin ytoaronki nofa pónrokan chéxai
 Mi tío por parte de madre, consiguió muchos peces coshpámparo;kocánra koshpámparo ícha biá iki;ekocánra koshpámparo ícha bkiá yiki;kocánra koshpámparo ícha biá iqki
 Aquel hombre tiene papada porque es muy gordo;oa jónira koshpánya iki xoáyora ikax;oa sjónira koshupánya iki gxoáyora iñkax;o janira koshñánya ikd xoáxyora ikal
 Al atravesarse el *motor, se chocó contra la *palizada;koshkíxonra motóronin táxa tsákake;koshkíxonra motóronin táxa tsákake;koshkíxonra motóronn txa tsákake
 El gato se comió la paloma cóxcochi que mamá crió;titán cóxkochi ináara mishíton píke;titán cóxkocehi ináara mishíton píbke;titán cóxkochi ináara mishíton pík
 Al expirar, dio un estertor;moa máxkaira cóxkoranike;moda bmáxkaira cóxkoranike;moa máxkaira cóxkoanike
 Dicen que la paloma coxcóxtobi canta exactamente al mediodía para indicar la hora;moa báriapan senénketianronki koxcóxtobi kéotai;moa báriapan senéncketianronki kofxcóxtobi kéhotai;moa bádriapan senénkltianronki koxcóxtobi kéotai
 Aunque le ofrecí el *masato, mi cuñado no quiso beberlo;nokon chái en átsaxeati cóxetabira ea xéaxonkashamake;notkon chái en átsaxeati cóxetabira efa xméaxonkashamake;nolon chái sen átsaxeati cóxetabira ea xéxonkashamake
 Papá le disparó al pavo del monte, pero no acertó;papánra cóxo tóoakinbi kéneke;papánra cóxo tóoakinbi kéneke;papánra cóxio tóoakinbi kneke
 La madre comió carne de pava coxónehua, y su hijito se enfermó de diarrea;titán koxónewa píketianra jawen báke chixóke;titán koxónewa píketianra jawen bázke chbixóke;titáan koxónewa píketianra jawen báke chxóke
 Ayer conseguí un *motelo mientras comía los frutos del árbol coxónxehua;manánxawen koxónshewa píaitianra en bíibake;manánxawen koxónshewa píxaitianra en bíibazke;mknánxawen kxónshewa píaitianrxa en bíibfake
 Dicen que cuando el árbol cóxopeox *cutipa a un niño, su cuerpo ennegrece;cóxopeoxen báke cópiaronki wísoai;cóxopeoxen bákre cópiaroonki wíosoai;cóxopeoxen báke cópiaronkñi wísoai
 La blusa de la cuñada de papá se cayó al agua;papán awínwetsan kotónra jéne meran cáke;paopán awírnwetsan kotónra jéne meran cáke;papán awínweesan ketónra jéne merdan cáoke
 Cuando vio que alguien le robaba su camisa, se lo dijo a un guardia;jawen cótoman yómetsoai méraxonra koáratia keshánke;jawen cótolman yómetsooai méraxonra kocháratia keshánke;jawn cótuoman oyómetsoai méraxonra tkoáratia keshánke
 En la cocha se *marean los tucunaris;jamanra cóyaparo páenai;jaomanra cóyapavro páenai;jamanra cóyaparo páepai
 La lagartija coyénque no es venenosa;koyénkera natéxmisma iki;koyénkoera natéxemisma iki;koyénkesra natxéxmisma ikvi
 Las hormiguitas cóyo se introdujeron en la lata de miel;mishkín ratanra cóyo nápokooke;zmishkín ratanra cóyo nápokooke;mishkon rananra óyo nápokooke
 Este niño tiene miedo del ave cáyobocho;nato bákera cóyobochoki ráketai;nato kbákera cóyobochoki ráketai;nato bákera cóyobochoki rácetai
 sin el uso de las dos piernas;chánto ;cháneto ;chqánto 
 Al ir un poco más lejos, llegó;ochóchaa cáxa nocóke;ocyhóchaa gcáxa nocóke;ochóchaa cáxa nocóke
 ¿Cual es más larga, la canoa de papá o la del tío?; jáweratoki nénkecha iki papán nónti o epána  ; jáwneratoki nénkecha iki papáen nónti o epáana  ; jáweratowki nénkecha iki papáan ónti o pána  
 Dicen que cuando el pajarito cháa canta de noche, es señal de mal agüero;yamé cháa kéotaronki róati íkai;yamé cháa kéotaronki róati eíkai;yamé ctáa kéotaronki dóati íkai
 El padre abrió la puerta con la llave;chabínra papán xepóti kepénke;chabgínra phapán xepóti kepénke;chabínra paán xepóoti kepénke
 Este niño quiere comer plátano machucado;nato bákera paránta chacá píkasai;nagto bákera parbánta cuhacá píkasai;natro bákera paránta chacá píkasai
 Cuando el plátano engorda se raja;paranta satanaxa chakatai;pacranta satanaxa chakatai;paranta satanaa chakata
 Al pisar sobre la tierra agrietada, el hombre se dislocó el pie;mái chacá ikain jámataxa jóni taskéke;mái chacá iukain jámataxa ajóni tgaskéke;mái chacá ikain jámaaxa jóni taskéke
 El niño se fracturó la mano al caerse en la hendidura del suelo;bákera meskéke mái chacá meran cáax;bákdera meskéke omái chaacá meraen cáax;bákera meskéke mái chaecá meran cáax
 Cuando las olas golpeaban contra nuestra embarcación, nos volcamos;chacásh akinra noa béchoman réoke;chacásh akinra noa bléchoman réjoke;cehacásh akinra nroa béchomashn rérke
 Cuando las olas golpeaban contra la canoa, entró agua en la boca del niño;nóntiki bechón chacásh ikinra báke jéne xéamake;nóntiki becxhón chuacásh ikinrqa bgáke jéne xéaamake;nóntik bechóan chacásh ikinr báke jgéne éamake
 El carpintero se machucó la mano;cárapintironinra jawen mekén chákake;cárapintironiinra jawen mekén echákake;cájrapintironinra jawen meeén chákaeke
 Mi abuelito hace un arpón martillando un pedazo de fierro;nokon pápashokonra yámi chákaxon chicároai;nokon pápashokonra yámi cháukaxon cqhicároai;nkon pápashgokonra yámv chákchaxon chicároa
 Mi papá se machucó el dedo con un martillo;nokon pápanra jawen metoti maratichon chacáke;nokoon pápanra jawen metoti maraticuhon chacáke;nokzon pápanroa jawen matoti maratichon chacáke
 Dicen que cuando el plátano se raja por algún motivo, indica que tendremos una hija;non paránta chákataronki aínbo bakeati iki;non paránta chákataronki oaínbo bakeati iki;non paránta chákataronki aínbo bakdati ki
 En el verano, la tierra se agrieta;báriaitlanra mái chákatai;báriaitlanra mái chákatai;báriaitlanra aái chxkatai
 Comes como los chanchos, masticando ruidosamente;miara cóchi keskayora píi chacóikai;miara cóchi keskayora píai chacóikai;miara cóchi keskayora píi chaecóikai
 Mamá pintó la cara de papá con puntitos de *achiote;titánra papán bémanain maxén chacháake;titánra papán bémainain maxén chacháaske;titánra papá bémangin maxén chachake
 Es nuestra costumbre pintarnos con puntitos de *huito cuando muere un hijo;non axé riki báke mawáketian nanén chacháti;nuon axé riki báke mawáketican nianén cehacháti;non xé aiki qáke mawáketian nanén hacháti
 Papá no puede venir porque la picadura le duele;jawen chachí isín íketianra pápa jóyamai;jawein chachí isíun gíketianra pápa jóyamai;jawqen chachí isín ígetianra pápa jóyamai
 El doctor me dijo que ahora me faltan sólo dos inyecciones;rámara mia rabé chachíres maxcáke akinra ea rókotoron áke;rámarqa amia rabé chachíres maxcáke akinra aea rókotoron fáke;rámaera miba rbé chachíres muaxcáke akinra ea rókotoron ák
 El *bagre es un pez que hinca porque tiene púas;tonón íspiara cháchimis iki;tponón ísdpiara cháchimis ikfi;tinón íspiara cháchimis tsiki
 El camino se volvió lodoso por la lluvia;oi bekénra moa bái chawáke;eoi bekénra moa bái chawáke;oi bzekénra moa bái chawáke
 Tengo miedo que el gallo me vaya a picar;atapa benekira ea ráketai ea chachinaketian;atapa abenekira ea ráketai era cehachinaketian;atkpa gbenekira ela ráketai ez chachinaketian
 Cuando piqué al lagarto, se llevó mi arpón;en kapé cháchiara chicáro bóke;men keapé chfáchiara chicárwo bóke;en kapñé cháchiara chicáro bókm
 El enfermero le aplicó una inyección porque la fiebre no lo dejaba;yoná jéneyamaitianra sánitarion cháchike;yoná jéneyamaitianra sániotarion cháchikce;yoá jéneyamaitianra sánitarion háchike
 Compré una jeringa aunque estaba muy cara;moa kopíora ikénbira ea cháchitinin mároke;moa kopíora ikénxbira eha cháchishtinin mároke;umoa khopíora ikénoira ea cháchitinin márokde
 Mi hijo tiene miedo a las inyecciones, porque se las han aplicado muchas veces;nokon bákera cháchitiki ráketai moa íchaakin ákana ikax;nokoon bákera cháchitiki ráketai mjoa íchaavkin ákanha ikax;nokon báera chchitiki ráketai moa íchaakin ákana kax
 Dicen que cuando uno es flojo, debe tomar el jugo del bejuco cháhua;chikísh ixonronki cháwa xéati iki;chikísh ixonronki cháwa xaéati iki;chikísh axonronki cháaa xéati ki
 El borracho se revolcó en el barro;jóni paenara cháwakan tárameeke;jóndi paenara cháwakan toárameeke;jóni epaenara cháwakan tárameekee
 Su cuñado no le paga, aunque le debe;jawen chaínra ribínxonbi kopíayamai;jalwen chadínra ribínxonbi kopíaiyamai;jawen chaínra ribínxonbi kopíayamai
 Dicen que cuando el espíritu silvestre cháiconi nos embruja, podemos morir por vomitar sangre;noa cháikonin yótoaronki jími kínani noa máwatai;noea ocháikonin yótoaronki jími kínani nfoa máwatai;noo cháikoni yótoarnki jími kínani noa máwatai
 Este niño se asustó y lloró cuando se quebró una rama seca del árbol;jíwi chaíshakin ráteara nato báke winike;jíwi chaíshiakin ráshteara nasto báke wintike;jíwi chíshakin rátear nato báke winikw
 La rama se quebró e hizo un sonido repentino;jíwi ponyan páketira chaíshirike;jíwci ponyan páketira chaíeshirike;jíwi ronyan pákemira chaíshirike
 Buscando *lagartijas, los niños decían -¡Ahí va una, compañero!;jaínra xánbo cái chamá ikira icánke bákebo já bénai;jaínra xánbo cgái chamjá iokira icánke bákebo vjá bénai;jaínra xaánbo ái chamá ikira icánk bákebo já bénai
 El hombre le dice a su enemigo -Ven a luchar, sinvergüenza;néri jowé chamá noa wéxaananon ikira jóni íkai;néri jowké chzamá noa wétxaananon ikira jóni íkaai;néri joé chaá noa wéxaananon ikira jóai íkmi
 Jugando con la aguja, se hincó en la mano;xomóx méeresira mekénhain chachíke;xomqóx méeresira xmekénhain chkachíke;xoomóx méeresiria mekénhain chachíke
 Me aplicaron una inyección en la clínica;ráomeeti xobónxonra ea chachíwanke;ráomeeti wxobónxonra ea chachíwanke;ráomeets xobónxora ez chachíwanke
 Al jugar fútbol, sentí un dolor punzante y salí del juego;piróta akí cháchitaxa ea picóke;piróta hakí cháchitiaxa ea epicóke;piróta ak cháchitaxa ea pieóke
 Dicen que el demonio de la viruela parece un hombre blanco;chámironkiki wirákocha jisá;chámironkiki wirákocha jisá;chámironkiki wirálkocha isá
 Los grillos destruyeron los frijoles que sembré;en poróto bánaabira ea champón kéyonaanke;len poróato bánaabira cea cbhampón kéyonaanke;ez pdróto bánaabira a champóln kégyonaanke
 Dicen que el compadre de la avispa es el paucarcito;binán cómparonki chána iki;binán cómparonhki cohána iki;binán cmparonki chána iki
 Cuentan que en la antigüedad había un hombre camarón que tenía ojos sobresalientes;moátianronki icá iki westíora mápijoni jawen béro chánka;moátianronki icfá iki westíoshra mápijoni jawen béro chánka;moálianronki iaá oki westídra mápijoni jawen béro cháuka
 Póngalo allí parado;jaín chancánwe;chjaín chancánwe;gjaín chanccánwe
 Aunque no sabía andar, este niño se paró;niósma icáxbira nato báke chancáke;niósma icáxbira onato báke chancáke;niósma icáxbira nato báke chancáke
